photoID,productID,file_path
1,1,/uploads/macbook1.jpg
2,1,/uploads/macbook2.jpg
3,1,/uploads/macbook3.jpg
4,2,/uploads/macbook_new.jpg
5,3,/uploads/41CCazqracL.jpg
6,3,/uploads/galaxy-note-8-front-full-on-home-screen.jpg
7,4,/uploads/28366-43968-MacBook-Air-2018-Space-Gray-xl.jpg
8,7,/uploads/nori.jpg
9,8,/uploads/jeju_greent.jpg
10,10,/uploads/orangey.jpg
11,11,/uploads/skirt.jpg
12,12,/uploads/jacket.jpg
13,13,/uploads/ctable.jpg
14,14,/uploads/coffee_maker.jpg
15,15,/uploads/loreal.jpg
16,16,/uploads/lotion.jpg
17,17,/uploads/puregym.jpg
18,18,/uploads/bike.png
19,20,/uploads/nintendo.jpg
20,21,/uploads/elsa.jpg
21,22,/uploads/spotify.png
22,23,/uploads/itunes.jpg
23,24,/uploads/travel.jpg
24,25,/uploads/sony_white.jpg
